Title;Developer(s);Publisher(s);Release Year
Bounty Sword;ITL;Pioneer LDC;ased
Boxing Legends of the Ring;Sculptured Software;Electro Brain;1993
Brain Lord;Produce;Enix;1994
The Brainies;Titus Software;Titus Software;1996
Bram Stoker's Dracula;Psygnosis;Sony Imagesoft;1993
Brandish;Koei;Koei;1995
Brandish 2: The Planet Buster;Koei;Koei;ased
Brandish 2 Expert;Koei;Koei;ased
Brawl Brothers;Jaleco;Jaleco;1993
BreakThru!;Artech Digital Entertainment;Spectrum HoloByte;1994
Breath of Fire;Capcom;Capcom;1994
Breath of Fire II;Capcom;Capcom;1995
Brett Hull Hockey;Radical Entertainment;Accolade;1994
Brett Hull Hockey '95;Radical Entertainment;Accolade;1994
Bronkie the Bronchiasaurus;WaveQuest;Raya Systems;1995
Brunswick World: Tournament of Champions;Tiertex Design Studios;THQ;1997
Brutal: Paws of Fury;Eurocom;GameTek;1994
Bubsy in Claws Encounters of the Furred Kind;Accolade;Accolade;1993
Bubsy II;Accolade;Accolade;1994
Bugs Bunny Rabbit Rampage;Viacom New Media;Sunsoft;1994
Bulls vs. Blazers and the NBA Playoffs;Electronic Arts;EA Sports;1992
Burai: Hachigyoku no Yuushi Densetsu;Pandora Box;IGS;ased
Bushi Seiryuuden: Futari no Yuusha;Game Freak;T&E Soft;ased
Bust-a-Move;Taito;Taito;1995
Cacoma Knight in Bizyland;SETA;SETA;1993
Cal Ripken Jr. Baseball;Mindscape;Mindscape;1992
California Games 2;Silicon Sorcery;DTMC;1993
Cannon Fodder;Sensible Software;Virgin Interactive;ased
Cannondale Cup;Radical Entertainment;American Softworks (;1994
Capcom's MVP Football;Equilibrium;Capcom;1993
Capcom's Soccer Shootout;A-Max;Epoch Co.;1994
Captain America and The Avengers;Mindscape;Mindscape;1993
Captain Commando;Capcom;Capcom;1995
Captain Novolin;Sculptured Software;Raya Systems;1992
Captain Tsubasa III: Koutei no Chousen;Tecmo;Tecmo;ased
Captain Tsubasa IV: Pro no Rival Tachi;Tecmo;Tecmo;ased
Captain Tsubasa V: Hasha no Shōgō Campione;Tecmo;Tecmo;ased
Captain Tsubasa J: The Way to World Youth;BEC;Bandai;ased
Caravan Shooting Collection;Hudson Soft;Hudson Soft;ased
Carrier Aces;Synergistic Software;Cybersoft;1995
Casper;Imagineering;Natsume;1996
Casper;Natsume;KSS;ased
Castlevania: Dracula X;Konami;Konami;1995
CB Chara Wars: Ushinawareta Gag;Almanic;Banpresto;ased
Champions World Class Soccer;Park Place Productions;Acclaim Entertainment;1994
Championship Pool;Bitmasters;Mindscape;1993
Chaos Seed;Neverland;Taito;ased
The Chessmaster;The Software Toolworks;Mindscape;1991
Chester Cheetah: Too Cool to Fool;Kaneko;Kaneko;1992
Chester Cheetah: Wild Wild Quest;Kaneko;Kaneko;1994
Chibi Maruko-chan: Harikiri 365-Nichi no Maki;SAS Sakata;Epoch Co., Ltd.;ased
Chibi Maruko-chan: Mezase! Minami no Island!!;Konami;Konami;ased
Chinhai;Pixel;Banpresto;ased
Chō Aniki: Bakuretsu Rantouden;Bits Laboratory;NCS;ased
Chō Genjin 2;A.I. Company Ltd.;Hudson Soft;ased
Chō Mahou Tairiku WOZZ;Red Company;Bullet-Proof Software;ased
Choplifter III;Beam Software;Extreme Entertainment Group;1994
Chrono Trigger;Square;Square;1995
Chuck Rock;Core Design;Sony Imagesoft;1992
Civilization;Microprose;Koei;1995
Classic Road;Opera House;Victor Interactive Software;ased
Classic Road II;Opera House;Victor Interactive Software;ased
ClayFighter;Visual Concepts;Interplay Entertainment;1993
ClayFighter: Tournament Edition;Visual Concepts;Interplay Entertainment;1994
