Title;Developer(s);Publisher(s);Release Year;Platform;Genre
Street Fighter II: The World Warrior;Capcom;Capcom;1992;SNES;Fighting
Super Buster Bros.;Capcom;Capcom;1992;SNES;Puzzle
Dragon Warrior III;Chunsoft;Enix;1992;NES;RPG
Dragon Warrior IV;Chunsoft;Enix;1992;NES;RPG
Arcana;HAL Laboratory;HAL Laboratory;1992;SNES;RPG
Bucky O'Hare;Konami;Konami;1992;NES;Platformer
Contra Force;Konami;Konami;1992;NES;Shooter
Monster in My Pocket;Konami;Konami;1992;NES;Platformer
Teenage Mutant Ninja Turtles III: The Manhattan Project;Konami;Konami;1992;NES;Fighting
Axelay;Konami;Konami;1992;SNES;Shooter
Contra III: The Alien Wars;Konami;Konami;1992;SNES;Shooter
The Legend of the Mystical Ninja;Konami;Konami;1992;SNES;Adventure
Teenage Mutant Ninja Turtles IV: Turtles in Time;Konami;Konami;1992;SNES;Fighting
Super Batter Up;Namco;Namco;1992;SNES;Sports
The Legend of Zelda: A Link to the Past;Nintendo;Nintendo;1992;SNES;Adventure
Mario Paint;Nintendo;Nintendo;1992;SNES;Puzzle
Super Mario Kart;Nintendo;Nintendo;1992;SNES;Racing
Super Scope 6;Nintendo;Nintendo;1992;SNES;Shooter
Final Fantasy Mystic Quest;Square;Square;1992;SNES;RPG
Mighty Final Fight;Capcom;Capcom;1993;NES;Fighting
Disney's Aladdin;Capcom;Capcom;1993;SNES;Platformer
Final Fight 2;Capcom;Capcom;1993;SNES;Fighting
Goof Troop;Capcom;Capcom;1993;SNES;Platformer
Street Fighter II Turbo: Hyper Fighting;Capcom;Capcom;1993;SNES;Fighting
Kirby's Adventure;HAL Laboratory;Nintendo;1993;NES;Platventure
Vegas Stakes;HAL Laboratory;Nintendo;1993;SNES;Sports
Batman Returns;Konami;Konami;1993;NES;Fighting
Tiny Toon Adventures 2: Trouble in Wackyland;Konami;Konami;1993;NES;Platformer
Zen the Intergalactic Ninja;Konami;Konami;1993;NES;Platformer
Batman Returns;Konami;Konami;1993;SNES;Fighting
Sunset Riders;Konami;Konami;1993;SNES;Shooter
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;Konami;1993;SNES;Fighting
Tiny Toon Adventures: Buster Busts Loose!;Konami;Konami;1993;SNES;Platformer
Pac-Man;Namco;Namco;1993;NES;Puzzle
Metal Marines;Namco;Namco;1993;SNES;Strategy
Pac-Attack;Namco;Namco;1993;SNES;Puzzle
Star Fox;Nintendo;Nintendo;1993;SNES;Shooter
Super Mario All-Stars;Nintendo;Nintendo;1993;SNES;Platformer
Yoshi's Safari;Nintendo;Nintendo;1993;SNES;Platformer
Secret of Mana;Square;Square;1993;SNES;RPG
Mega Man 6;Capcom;Nintendo;1994;NES;Platventure
Breath of Fire;Capcom;Capcom;1994;SNES;RPG
Demon's Crest;Capcom;Capcom;1994;SNES;Platformer
Eye of the Beholder;Capcom;Capcom;1994;SNES;RPG
Final Fight Guy;Capcom;Capcom;1994;SNES;Fighting
The Great Circus Mystery Starring Mickey & Minnie;Capcom;Capcom;1994;SNES;Platformer
The King of Dragons;Capcom;Capcom;1994;SNES;Fighting
Knights of the Round;Capcom;Capcom;1994;SNES;Fighting
Mega Man X;Capcom;Capcom;1994;SNES;Platventure
Saturday Night Slam Masters;Capcom;Capcom;1994;SNES;Fighting
Super Street Fighter II: The New Challengers;Capcom;Capcom;1994;SNES;Fighting
X-Men: Mutant Apocalypse;Capcom;Capcom;1994;SNES;Platformer
Teenage Mutant Ninja Turtles: Tournament Fighters;Konami;Konami;1994;NES;Fighting
The Adventures of Batman & Robin;Konami;Konami;1994;SNES;Platformer
Animaniacs;Konami;Konami;1994;SNES;Platformer
Biker Mice from Mars;Konami;Konami;1994;SNES;Racing
Lethal Enforcers;Konami;Konami;1994;SNES;Shooter
Sparkster;Konami;Konami;1994;SNES;Platformer
Tiny Toon Adventures: Wacky Sports Challenge;Konami;Konami;1994;SNES;Sports
Pac-Man 2: The New Adventures;Namco;Namco;1994;SNES;Platformer
Stunt Race FX;Nintendo;Nintendo;1994;SNES;Racing
Super Mario All-Stars + Super Mario World;Nintendo;Nintendo;1994;SNES;Platformer
Super Metroid;Nintendo;Nintendo;1994;SNES;Platventure
Super Punch-Out!!;Nintendo;Nintendo;1994;SNES;Fighting
Wario's Woods;Nintendo;Nintendo;1994;SNES;Puzzle
Wario's Woods;Nintendo Research & Development 1;Nintendo;1994;NES;Puzzle
Zoda's Revenge: StarTropics II;Nintendo Research & Development 3;Nintendo;1994;NES;Adventure
Final Fantasy III;Square;Square;1994;SNES;RPG
Breath of Fire II;Capcom;Capcom;1995;SNES;RPG
Captain Commando;Capcom;Capcom;1995;SNES;Fighting
Final Fight 3;Capcom;Capcom;1995;SNES;Fighting
Mega Man 7;Capcom;Capcom;1995;SNES;Platventure
Mega Man X2;Capcom;Capcom;1995;SNES;Platventure
EarthBound;HAL Laboratory;Nintendo;1995;SNES;RPG
Kirby's Dream Course;HAL Laboratory;Nintendo;1995;SNES;Puzzle
Castlevania: Dracula X;Konami;Konami;1995;SNES;Platventure
International Superstar Soccer;Konami;Konami;1995;SNES;Sports
International Superstar Soccer Deluxe;Konami;Konami;1995;SNES;Sports
NBA Give 'n Go;Konami;Konami;1995;SNES;Sports
Super Mario World 2: Yoshi's Island;Nintendo;Nintendo;1995;SNES;Platventure
Chrono Trigger;Square;Square;1995;SNES;RPG
Secret of Evermore;Square;Square;1995;SNES;RPG
Marvel Super Heroes: War of the Gems;Capcom;Capcom;1996;SNES;Platformer
Street Fighter Alpha 2;Capcom;Capcom;1996;SNES;Fighting
Kirby Super Star;HAL Laboratory;Nintendo;1996;SNES;Platventure
Super Mario RPG: Legend of the Seven Stars;Square;Nintendo;1996;SNES;RPG
Kirby's Dream Land 3;HAL Laboratory;Nintendo;1997;SNES;Platventure
